Grupo Descuento/Recargo;Mes;Centro deportivo;Distrito;Grupo de actividad deportiva;Sexo;Nº Descuentos
EDAD INFANTIL;2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;192
EDAD INFANTIL;2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;189
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;309
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;325
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;MASCULINO;4
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;478
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;536
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;629
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;596
EDAD INFANTIL;2017.01 ENERO;LA MINA;CARABANCHEL                                       ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;MASCULINO;5
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;544
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;622
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;538
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;15
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;SERVICIOS DE MEDICINA;MASCULINO;4
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;466
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;499
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;300
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;86
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;SERVICIOS DE MEDICINA;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;CONCEPCIÓN;CIUDAD LINEAL                                     ;SERVICIOS DE MEDICINA;FEMENINO;2
EDAD INFANTIL;2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;MASCULINO;49
EDAD INFANTIL;2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;FEMENINO;49
EDAD INFANTIL;2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;507
EDAD INFANTIL;2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;500
EDAD INFANTIL;2017.01 ENERO;SAN JUAN BAUTISTA;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;170
EDAD INFANTIL;2017.01 ENERO;SAN JUAN BAUTISTA;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;171
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;FEMENINO;2
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;750
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;798
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;334
EDAD INFANTIL;2017.01 ENERO;LA MASÓ;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;81
EDAD INFANTIL;2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;188
EDAD INFANTIL;2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;184
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;MASCULINO;4
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;632
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;602
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;369
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;102
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;SERVICIOS DE MEDICINA;MASCULINO;10
EDAD INFANTIL;2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;SERVICIOS DE MEDICINA;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ABONO DEPORTE MADRID;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ABONO DEPORTE MADRID;FEMENINO;2
EDAD INFANTIL;2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;586
EDAD INFANTIL;2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;725
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;395
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;346
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;67
EDAD INFANTIL;2017.01 ENERO;LUIS ARAGONÉS;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;ALUCHE;LATINA                                            ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;ALUCHE;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;673
EDAD INFANTIL;2017.01 ENERO;ALUCHE;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;967
EDAD INFANTIL;2017.01 ENERO;ALUCHE;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;474
EDAD INFANTIL;2017.01 ENERO;ALUCHE;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;155
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ABONO DEPORTE MADRID;MASCULINO;10
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ABONO DEPORTE MADRID;FEMENINO;10
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;564
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;552
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;143
EDAD INFANTIL;2017.01 ENERO;GALLUR;LATINA                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;6
EDAD INFANTIL;2017.01 ENERO;ALFREDO GOYENECHE;MONCLOA-ARAVACA                                   ;ABONO DEPORTE MADRID;MASCULINO;23
EDAD INFANTIL;2017.01 ENERO;ALFREDO GOYENECHE;MONCLOA-ARAVACA                                   ;ABONO DEPORTE MADRID;FEMENINO;28
EDAD INFANTIL;2017.01 ENERO;ALFREDO GOYENECHE;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;474
EDAD INFANTIL;2017.01 ENERO;ALFREDO GOYENECHE;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;488
EDAD INFANTIL;2017.01 ENERO;CASA DE CAMPO;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;326
EDAD INFANTIL;2017.01 ENERO;CASA DE CAMPO;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;278
EDAD INFANTIL;2017.01 ENERO;CIUDAD DE LOS POETAS;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;CIUDAD DE LOS POETAS;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;104
EDAD INFANTIL;2017.01 ENERO;FERNANDO MARTÍN;MONCLOA-ARAVACA                                   ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;FERNANDO MARTÍN;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;393
EDAD INFANTIL;2017.01 ENERO;FERNANDO MARTÍN;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;361
EDAD INFANTIL;2017.01 ENERO;JOSÉ MARÍA CAGIGAL;MONCLOA-ARAVACA                                   ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;JOSÉ MARÍA CAGIGAL;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;451
EDAD INFANTIL;2017.01 ENERO;JOSÉ MARÍA CAGIGAL;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;264
EDAD INFANTIL;2017.01 ENERO;LA BOMBILLA;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;101
EDAD INFANTIL;2017.01 ENERO;LA BOMBILLA;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;61
EDAD INFANTIL;2017.01 ENERO;TENIS CASA DE CAMPO;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;39
EDAD INFANTIL;2017.01 ENERO;TENIS CASA DE CAMPO;MONCLOA-ARAVACA                                   ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;11
EDAD INFANTIL;2017.01 ENERO;LA ELIPA;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;60
EDAD INFANTIL;2017.01 ENERO;LA ELIPA;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;30
EDAD INFANTIL;2017.01 ENERO;LA ELIPA;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;LA ELIPA;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;236
EDAD INFANTIL;2017.01 ENERO;LA ELIPA;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;44
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ABONO DEPORTE MADRID;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;14
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;569
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;479
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;520
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;444
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;SERVICIOS DE MEDICINA;MASCULINO;8
EDAD INFANTIL;2017.01 ENERO;MORATALAZ;MORATALAZ                                         ;SERVICIOS DE MEDICINA;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;ALBERTO GARCÍA;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;979
EDAD INFANTIL;2017.01 ENERO;ALBERTO GARCÍA;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;989
EDAD INFANTIL;2017.01 ENERO;ALBERTO GARCÍA;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;149
EDAD INFANTIL;2017.01 ENERO;ALBERTO GARCÍA;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;52
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ABONO DEPORTE MADRID;MASCULINO;6
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ABONO DEPORTE MADRID;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;526
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;524
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;191
EDAD INFANTIL;2017.01 ENERO;ENTREVÍAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;PALOMERAS;PUENTE DE VALLECAS                                ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PALOMERAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;200
EDAD INFANTIL;2017.01 ENERO;PALOMERAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;296
EDAD INFANTIL;2017.01 ENERO;PALOMERAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;293
EDAD INFANTIL;2017.01 ENERO;PALOMERAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;49
EDAD INFANTIL;2017.01 ENERO;PUENTE DE VALLECAS;PUENTE DE VALLECAS                                ;ABONO DEPORTE MADRID;MASCULINO;4
EDAD INFANTIL;2017.01 ENERO;PUENTE DE VALLECAS;PUENTE DE VALLECAS                                ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PUENTE DE VALLECAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;620
EDAD INFANTIL;2017.01 ENERO;PUENTE DE VALLECAS;PUENTE DE VALLECAS                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;728
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ABONO DEPORTE MADRID;FEMENINO;4
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;456
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;460
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;202
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;5
EDAD INFANTIL;2017.01 ENERO;DAOÍZ Y VELARDE;RETIRO                                            ;SERVICIOS DE MEDICINA;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;ESTANQUE DEL RETIRO;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;21
EDAD INFANTIL;2017.01 ENERO;ESTANQUE DEL RETIRO;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;8
EDAD INFANTIL;2017.01 ENERO;LA CHOPERA;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;112
EDAD INFANTIL;2017.01 ENERO;LA CHOPERA;RETIRO                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;114
EDAD INFANTIL;2017.01 ENERO;GIMNASIO MOSCARDÓ;SALAMANCA                                         ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;GIMNASIO MOSCARDÓ;SALAMANCA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;413
EDAD INFANTIL;2017.01 ENERO;GIMNASIO MOSCARDÓ;SALAMANCA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;556
EDAD INFANTIL;2017.01 ENERO;GIMNASIO MOSCARDÓ;SALAMANCA                                         ;SERVICIOS DE MEDICINA;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;GIMNASIO MOSCARDÓ;SALAMANCA                                         ;SERVICIOS DE MEDICINA;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;SAN BLAS;SAN BLAS                                          ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;SAN BLAS;SAN BLAS                                          ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;582
EDAD INFANTIL;2017.01 ENERO;SAN BLAS;SAN BLAS                                          ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;662
EDAD INFANTIL;2017.01 ENERO;PLAYA VICTORIA;TETUAN                                            ;ABONO DEPORTE MADRID;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;PLAYA VICTORIA;TETUAN                                            ;ABONO DEPORTE MADRID;FEMENINO;4
EDAD INFANTIL;2017.01 ENERO;PLAYA VICTORIA;TETUAN                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;395
EDAD INFANTIL;2017.01 ENERO;PLAYA VICTORIA;TETUAN                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;372
EDAD INFANTIL;2017.01 ENERO;TRIÁNGULO DE ORO;TETUAN                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;323
EDAD INFANTIL;2017.01 ENERO;TRIÁNGULO DE ORO;TETUAN                                            ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;354
EDAD INFANTIL;2017.01 ENERO;ORCASITAS;USERA                                             ;ABONO DEPORTE MADRID;FEMENINO;2
EDAD INFANTIL;2017.01 ENERO;ORCASITAS;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;324
EDAD INFANTIL;2017.01 ENERO;ORCASITAS;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;252
EDAD INFANTIL;2017.01 ENERO;ORCASITAS;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;56
EDAD INFANTIL;2017.01 ENERO;ORCASITAS;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;59
EDAD INFANTIL;2017.01 ENERO;ORCASUR;USERA                                             ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;ORCASUR;USERA                                             ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;ORCASUR;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;381
EDAD INFANTIL;2017.01 ENERO;ORCASUR;USERA                                             ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;342
EDAD INFANTIL;2017.01 ENERO;VALDEBERNARDO;VICALVARO                                         ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;VALDEBERNARDO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;VALDEBERNARDO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;592
EDAD INFANTIL;2017.01 ENERO;VALDEBERNARDO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;744
EDAD INFANTIL;2017.01 ENERO;VICÁLVARO;VICALVARO                                         ;ABONO DEPORTE MADRID;MASCULINO;2
EDAD INFANTIL;2017.01 ENERO;VICÁLVARO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;743
EDAD INFANTIL;2017.01 ENERO;VICÁLVARO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;730
EDAD INFANTIL;2017.01 ENERO;VICÁLVARO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;97
EDAD INFANTIL;2017.01 ENERO;VICÁLVARO;VICALVARO                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;46
EDAD INFANTIL;2017.01 ENERO;CERRO ALMODÓVAR;VILLA DE VALLECAS                                 ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;CERRO ALMODÓVAR;VILLA DE VALLECAS                                 ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;CERRO ALMODÓVAR;VILLA DE VALLECAS                                 ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;458
EDAD INFANTIL;2017.01 ENERO;CERRO ALMODÓVAR;VILLA DE VALLECAS                                 ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;466
EDAD INFANTIL;2017.01 ENERO;MIGUEL GUILLÉN PRIM;VILLA DE VALLECAS                                 ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;122
EDAD INFANTIL;2017.01 ENERO;MIGUEL GUILLÉN PRIM;VILLA DE VALLECAS                                 ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;22
EDAD INFANTIL;2017.01 ENERO;EL ESPINILLO;VILLAVERDE                                        ;ABONO DEPORTE MADRID;MASCULINO;3
