MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
4792806;D1955-Deportiva- CALLE DE CASALARREINA, 26D;19;VICALVARO;191;CASCO H.VICALVARO;12/12/17;AVENIDA;DAROCA;299;31041868;CDE;7;ACTIVO
4792812;D1957-Deportiva- CALLE DEL ABAD JUAN CATALAN 70;19;VICALVARO;191;CASCO H.VICALVARO;18/12/17;CALLE;ABAD JUAN CATALAN;70;31037333;CDE;8;ACTIVO
4794560;D0653 - Deportiva - AZCA;06;TETUAN;062;CUATRO CAMINOS;18/06/18;PASEO;CASTELLANA;75 B;20181752;CDE;9;ACTIVO
4795141;D1355- Deportiva- AVENIDA DE MIGUEL HERNANDEZ 48;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;08/06/17;AVENIDA;MIGUEL HERNANDEZ;48;20035278;CDE;6;ACTIVO
4985933;D1857- Deportiva- POLIGONO UZP0104 ATALAYUELA, 152;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;01/06/18;CALLE;PERALES DEL RIO;14;31042406;CDE;6;ACTIVO
4986445;D1756-Deportiva - CALLE DE BENIFERRI 2;17;VILLAVERDE;172;SAN CRISTOBAL;30/11/18;CALLE;BENIFERRI;2;11126150;CDE;11;ACTIVO
4988134;D2154-Deportivo-PASEO ALAMEDA DE OSUNA 8;21;BARAJAS;211;ALAMEDA DE OSUNA;10/12/18;PASEO;ALAMEDA DE OSUNA;8;31036783;CDE;9;ACTIVO
4988206;D2155-Deportivo-C LA RIOJA 1;21;BARAJAS;211;ALAMEDA DE OSUNA;10/12/18;CALLE;LA RIOJA;1;11139649;CDE;9;ACTIVO
4988302;D1958- Deportiva- CALLE DEL ALTO DEL ESPARRAGAL 214;19;VICALVARO;194;EL CAÑAVERAL;20/12/18;CALLE;ALTO DEL ESPARRAGAL;214;31047359;CDE;9;ACTIVO
4988362;D0552-Deportiva;05;CHAMARTIN;052;PROSPERIDAD;20/12/18;CALLE;CORAZON DE MARIA;18;20120209;CDE;4;ACTIVO
451427;D0450-Deportiva;04;SALAMANCA;044;GUINDALERA;;AVENIDA;BRASILIA;33;11017892;CDE;10;ACTIVO
52070;D0650-Deportiva-PARQUE AGUSTIN RODRIGUEZ SAHAGUN (HUERTA OBISOPO);06;TETUAN;065;VALDEACEDERAS;22/02/06;;;;31028439;CDE;19;ACTIVO
4990288;D2055-Deportivo-CARRETERA ACCESO A LA ESTACION DE O'DONNELL 10;20;SAN BLAS-CANILLEJAS;206;REJAS;19/12/18;CARRETERA;ACCESO A LA ESTACION DE O'DONNELL;10;20167866;CDE;8;ACTIVO
451351;D0850-Deportiva;08;FUENCARRAL-EL PARDO;085;LA PAZ;01/12/14;AVENIDA;MONFORTE DE LEMOS;8;20095286;CDE;3;ACTIVO
451353;D0851-Deportiva;08;FUENCARRAL-EL PARDO;085;LA PAZ;01/12/15;AVENIDA;MONFORTE DE LEMOS;12;20095292;CDE;13;ACTIVO
3568711;D0852-Deportiva;08;FUENCARRAL-EL PARDO;085;LA PAZ;08/03/17;CALLE;PEDRO RICO;1;20103366;CDE;7;ACTIVO
5108019;D1655-Deportivo-C INFANTA CATALINA MICAELA 31;16;HORTALEZA;166;VALDEFUENTES;22/05/19;CALLE;INFANTA CATALINA MICAELA;31;31025797;CDE;8;ACTIVO
451531;D1055-Deportiva;10;LATINA;101;LOS CARMENES;;AVENIDA;CAPRICHOS;14;20148982;CDE;6;ACTIVO
5175231;D0855-Deportiva;08;FUENCARRAL-EL PARDO;086;VALVERDE;18/07/19;AVENIDA;LLANO CASTELLANO;3;11047058;CDE;5;ACTIVO
